Date,Water Level,Another
22.05.2023 18:00,,0
22.05.2023 16:00,196,0
22.05.2023 14:00,204,0
22.05.2023 12:00,204,0
22.05.2023 10:00,204,0
22.05.2023 8:00,204,0
22.05.2023 6:00,204,0
22.05.2023 4:00,204,0
22.05.2023 2:00,204,0
22.05.2023 0:00,204,0
21.05.2023 22:00,204,0
21.05.2023 20:00,204,0
21.05.2023 18:00,205,0
21.05.2023 16:00,205,0
21.05.2023 14:00,205,0
21.05.2023 12:00,,0
21.05.2023 10:00,205,0
21.05.2023 8:00,205,0
21.05.2023 6:00,205,0
21.05.2023 4:00,205,0
21.05.2023 2:00,205,0
21.05.2023 0:00,205,0
20.05.2023 22:00,,0
20.05.2023 20:00,206,0
20.05.2023 18:00,206,0
20.05.2023 16:00,206,0
20.05.2023 14:00,206,0
20.05.2023 12:00,207,0
20.05.2023 10:00,207,0
20.05.2023 8:00,207,3.1
20.05.2023 6:00,207,3.1
20.05.2023 4:00,208,3.1
20.05.2023 2:00,207,3.1
20.05.2023 0:00,208,3.1
19.05.2023 22:00,207,3.1
19.05.2023 20:00,207,3.1
23.05.2023 14:00,195,0
23.05.2023 12:00,195,0
23.05.2023 10:00,195,0
23.05.2023 8:00,,0
23.05.2023 6:00,195,0
23.05.2023 4:00,195,0
23.05.2023 2:00,195,0
23.05.2023 0:00,,0
22.05.2023 22:00,195,0
22.05.2023 20:00,195,0
22.05.2023 18:00,,0
22.05.2023 16:00,196,0
22.05.2023 14:00,204,0
22.05.2023 12:00,204,0
22.05.2023 10:00,204,0
22.05.2023 8:00,204,0
22.05.2023 6:00,204,0
22.05.2023 4:00,204,0
22.05.2023 2:00,204,0
22.05.2023 0:00,204,0
21.05.2023 22:00,204,0
21.05.2023 20:00,204,0
21.05.2023 18:00,205,0
21.05.2023 16:00,205,0
21.05.2023 14:00,205,0
21.05.2023 12:00,,0
21.05.2023 10:00,205,0
21.05.2023 8:00,205,0
21.05.2023 6:00,205,0
21.05.2023 4:00,205,0
21.05.2023 2:00,205,0
21.05.2023 0:00,205,0
20.05.2023 22:00,,0
20.05.2023 20:00,206,0
20.05.2023 18:00,206,0
20.05.2023 16:00,206,0
24.05.2023 14:00,195,1.5
24.05.2023 12:00,195,1.5
24.05.2023 10:00,195,0.1
24.05.2023 8:00,194,0
24.05.2023 6:00,194,0
24.05.2023 4:00,195,0
24.05.2023 2:00,195,0
24.05.2023 0:00,195,0
23.05.2023 22:00,,0
23.05.2023 20:00,195,0
23.05.2023 18:00,195,0
23.05.2023 16:00,195,0
23.05.2023 14:00,195,0
23.05.2023 12:00,195,0
23.05.2023 10:00,195,0
23.05.2023 8:00,,0
23.05.2023 6:00,195,0
23.05.2023 4:00,195,0
23.05.2023 2:00,195,0
23.05.2023 0:00,,0
22.05.2023 22:00,195,0
22.05.2023 20:00,195,0
22.05.2023 18:00,,0
22.05.2023 16:00,196,0
22.05.2023 14:00,204,0
22.05.2023 12:00,204,0
22.05.2023 10:00,204,0
22.05.2023 8:00,204,0
22.05.2023 6:00,204,0
22.05.2023 4:00,204,0
22.05.2023 2:00,204,0
22.05.2023 0:00,204,0
21.05.2023 22:00,204,0
21.05.2023 20:00,204,0
21.05.2023 18:00,205,0
21.05.2023 16:00,205,0
