Date,Water Level,Another
22.05.2023 18:00,-2,0
22.05.2023 16:00,-2,0
22.05.2023 14:00,-2,0
22.05.2023 12:00,-2,0
22.05.2023 10:00,-2,0
22.05.2023 8:00,-2,0
22.05.2023 6:00,-2,0
22.05.2023 4:00,-2,0
22.05.2023 2:00,-2,0
22.05.2023 0:00,-2,0
21.05.2023 22:00,-2,0
21.05.2023 20:00,-1,0
21.05.2023 18:00,-1,0
21.05.2023 16:00,-1,0
21.05.2023 14:00,-1,0
21.05.2023 12:00,-1,0
21.05.2023 10:00,-1,0
21.05.2023 8:00,-1,0
21.05.2023 6:00,-1,0
21.05.2023 4:00,-1,0
21.05.2023 2:00,-1,0
21.05.2023 0:00,-1,0
20.05.2023 22:00,-1,0
20.05.2023 20:00,0,0
20.05.2023 18:00,0,0
20.05.2023 16:00,0,0
20.05.2023 14:00,0,0
20.05.2023 12:00,0,0
20.05.2023 10:00,0,0
20.05.2023 8:00,0,1.7
20.05.2023 6:00,1,1.7
20.05.2023 4:00,1,1.7
20.05.2023 2:00,1,1.7
20.05.2023 0:00,1,1.7
19.05.2023 22:00,1,1.7
19.05.2023 20:00,1,1.7
23.05.2023 14:00,-3,0
23.05.2023 12:00,-3,0
23.05.2023 10:00,-3,0
23.05.2023 8:00,-3,0
23.05.2023 6:00,-3,0
23.05.2023 4:00,-3,0
23.05.2023 2:00,-3,0
23.05.2023 0:00,-3,0
22.05.2023 22:00,-3,0
22.05.2023 20:00,-2,0
22.05.2023 18:00,-2,0
22.05.2023 16:00,-2,0
22.05.2023 14:00,-2,0
22.05.2023 12:00,-2,0
22.05.2023 10:00,-2,0
22.05.2023 8:00,-2,0
22.05.2023 6:00,-2,0
22.05.2023 4:00,-2,0
22.05.2023 2:00,-2,0
22.05.2023 0:00,-2,0
21.05.2023 22:00,-2,0
21.05.2023 20:00,-1,0
21.05.2023 18:00,-1,0
21.05.2023 16:00,-1,0
21.05.2023 14:00,-1,0
21.05.2023 12:00,-1,0
21.05.2023 10:00,-1,0
21.05.2023 8:00,-1,0
21.05.2023 6:00,-1,0
21.05.2023 4:00,-1,0
21.05.2023 2:00,-1,0
21.05.2023 0:00,-1,0
20.05.2023 22:00,-1,0
20.05.2023 20:00,0,0
20.05.2023 18:00,0,0
20.05.2023 16:00,0,0
24.05.2023 14:00,-2,0.2
24.05.2023 12:00,-2,0.2
24.05.2023 10:00,-3,0.2
24.05.2023 8:00,-3,2.3
24.05.2023 6:00,-3,1.8
24.05.2023 4:00,-3,0
24.05.2023 2:00,-4,0
24.05.2023 0:00,-3,0
23.05.2023 22:00,-3,0
23.05.2023 20:00,-3,0
23.05.2023 18:00,-3,0
23.05.2023 16:00,-3,0
23.05.2023 14:00,-3,0
23.05.2023 12:00,-3,0
23.05.2023 10:00,-3,0
23.05.2023 8:00,-3,0
