Date,Water Level,Another
22.05.2023 18:00,43,0
22.05.2023 16:00,44,0
22.05.2023 14:00,44,0
22.05.2023 12:00,44,0
22.05.2023 10:00,44,0
22.05.2023 8:00,44,0
22.05.2023 6:00,44,0
22.05.2023 4:00,44,0
22.05.2023 2:00,45,0
22.05.2023 0:00,45,0
21.05.2023 22:00,45,0
21.05.2023 20:00,46,0
21.05.2023 18:00,46,0
21.05.2023 16:00,46,0
21.05.2023 14:00,46,0
21.05.2023 12:00,46,0
21.05.2023 10:00,46,0
21.05.2023 8:00,47,0
21.05.2023 6:00,47,0
21.05.2023 4:00,47,0
21.05.2023 2:00,48,0
21.05.2023 0:00,48,0
20.05.2023 22:00,49,0
20.05.2023 20:00,49,0
20.05.2023 18:00,50,0
20.05.2023 16:00,50,0
20.05.2023 14:00,51,0
20.05.2023 12:00,51,0
20.05.2023 10:00,51,0
20.05.2023 8:00,52,0
20.05.2023 6:00,52,0
20.05.2023 4:00,52,0
20.05.2023 2:00,51,0
20.05.2023 0:00,51,0
19.05.2023 22:00,51,0
19.05.2023 20:00,51,0
23.05.2023 14:00,42,0
23.05.2023 12:00,42,0
23.05.2023 10:00,42,0
23.05.2023 8:00,42,0
23.05.2023 6:00,42,0
23.05.2023 4:00,43,0
23.05.2023 2:00,43,0
23.05.2023 0:00,43,0
22.05.2023 22:00,43,0
22.05.2023 20:00,43,0
22.05.2023 18:00,43,0
22.05.2023 16:00,44,0
22.05.2023 14:00,44,0
22.05.2023 12:00,44,0
22.05.2023 10:00,44,0
22.05.2023 8:00,44,0
22.05.2023 6:00,44,0
22.05.2023 4:00,44,0
22.05.2023 2:00,45,0
22.05.2023 0:00,45,0
21.05.2023 22:00,45,0
21.05.2023 20:00,46,0
21.05.2023 18:00,46,0
21.05.2023 16:00,46,0
21.05.2023 14:00,46,0
21.05.2023 12:00,46,0
21.05.2023 10:00,46,0
21.05.2023 8:00,47,0
21.05.2023 6:00,47,0
21.05.2023 4:00,47,0
21.05.2023 2:00,48,0
21.05.2023 0:00,48,0
20.05.2023 22:00,49,0
20.05.2023 20:00,49,0
20.05.2023 18:00,50,0
20.05.2023 16:00,50,0
24.05.2023 14:00,41,0.6
24.05.2023 12:00,41,0.6
24.05.2023 10:00,41,0.6
24.05.2023 8:00,41,1.4
24.05.2023 6:00,41,0
24.05.2023 4:00,41,0
24.05.2023 2:00,41,0
24.05.2023 0:00,42,0
23.05.2023 22:00,42,0
23.05.2023 20:00,42,0
23.05.2023 18:00,42,0
23.05.2023 16:00,42,0
23.05.2023 14:00,42,0
23.05.2023 12:00,42,0
23.05.2023 10:00,42,0
23.05.2023 8:00,42,0
23.05.2023 6:00,42,0
23.05.2023 4:00,43,0
23.05.2023 2:00,43,0
23.05.2023 0:00,43,0
22.05.2023 22:00,43,0
22.05.2023 20:00,43,0
22.05.2023 18:00,43,0
22.05.2023 16:00,44,0
22.05.2023 14:00,44,0
22.05.2023 12:00,44,0
22.05.2023 10:00,44,0
22.05.2023 8:00,44,0
22.05.2023 6:00,44,0
22.05.2023 4:00,44,0
22.05.2023 2:00,45,0
22.05.2023 0:00,45,0
21.05.2023 22:00,45,0
21.05.2023 20:00,46,0
21.05.2023 18:00,46,0
21.05.2023 16:00,46,0
26.05.2023 10:00,47,0
26.05.2023 8:00,47,0
26.05.2023 6:00,48,0
26.05.2023 4:00,49,0
26.05.2023 2:00,50,0
26.05.2023 0:00,50,0
25.05.2023 22:00,51,0
25.05.2023 20:00,52,0
25.05.2023 18:00,53,0
25.05.2023 16:00,54,0
25.05.2023 14:00,56,0
25.05.2023 12:00,57,0
25.05.2023 10:00,59,0
25.05.2023 8:00,60,1.6
25.05.2023 6:00,62,1.6
25.05.2023 4:00,61,1.6
25.05.2023 2:00,55,1.6
25.05.2023 0:00,43,1.6
24.05.2023 22:00,42,1.6
24.05.2023 20:00,42,1.6
24.05.2023 18:00,42,1.2
24.05.2023 16:00,41,0
26.05.2023 12:00,46,0
29.05.2023 16:00,39,0
29.05.2023 14:00,39,0
29.05.2023 12:00,39,0
29.05.2023 10:00,39,0
29.05.2023 8:00,39,0
29.05.2023 6:00,40,0
29.05.2023 4:00,40,0
29.05.2023 2:00,40,0
29.05.2023 0:00,40,0
28.05.2023 22:00,40,0
28.05.2023 20:00,40,0
28.05.2023 18:00,40,0
28.05.2023 16:00,40,0
28.05.2023 14:00,40,0
28.05.2023 12:00,41,0
28.05.2023 10:00,41,0
28.05.2023 8:00,41,0
28.05.2023 6:00,41,0
28.05.2023 4:00,41,0
28.05.2023 2:00,41,0
28.05.2023 0:00,42,0
27.05.2023 22:00,42,0
27.05.2023 20:00,42,0
27.05.2023 18:00,42,0
27.05.2023 16:00,43,0
27.05.2023 14:00,43,0
27.05.2023 12:00,43,0
27.05.2023 10:00,43,0
27.05.2023 8:00,43,0
27.05.2023 6:00,44,0
27.05.2023 4:00,44,0
27.05.2023 2:00,44,0
27.05.2023 0:00,45,0
26.05.2023 22:00,45,0
26.05.2023 20:00,45,0
26.05.2023 18:00,46,0
30.05.2023 10:00,39,0
30.05.2023 8:00,39,0
30.05.2023 6:00,39,0
30.05.2023 4:00,39,0
30.05.2023 2:00,39,0
30.05.2023 0:00,39,0
29.05.2023 22:00,39,0
29.05.2023 20:00,39,0
29.05.2023 18:00,39,0
02.06.2023 22:00,37,6
02.06.2023 20:00,36,6
02.06.2023 18:00,36,5.9
02.06.2023 16:00,36,0
02.06.2023 14:00,36,0
02.06.2023 12:00,36,0
02.06.2023 10:00,36,0
02.06.2023 8:00,36,0
02.06.2023 6:00,36,0
02.06.2023 4:00,36,0
02.06.2023 2:00,36,0
02.06.2023 0:00,36,0
01.06.2023 22:00,36,0
01.06.2023 20:00,36,0
01.06.2023 18:00,36,0
01.06.2023 16:00,36,0
01.06.2023 14:00,36,0
01.06.2023 12:00,36,0
01.06.2023 10:00,36,0
01.06.2023 8:00,37,0
01.06.2023 6:00,37,0
01.06.2023 4:00,37,0
01.06.2023 2:00,37,0
01.06.2023 0:00,37,0
31.05.2023 22:00,37,0
31.05.2023 20:00,38,0
31.05.2023 18:00,38,0
31.05.2023 16:00,38,0
31.05.2023 14:00,38,0
31.05.2023 12:00,38,0
31.05.2023 10:00,38,0
31.05.2023 8:00,38,0
31.05.2023 6:00,38,0
31.05.2023 4:00,39,0
31.05.2023 2:00,39,0
31.05.2023 0:00,39,0
06.06.2023 16:00,35,0.9
06.06.2023 14:00,35,0
06.06.2023 12:00,34,0
06.06.2023 10:00,34,0
06.06.2023 8:00,35,0
06.06.2023 6:00,35,0
06.06.2023 4:00,35,0
06.06.2023 2:00,35,0
06.06.2023 0:00,35,0
05.06.2023 22:00,35,0
05.06.2023 20:00,36,0
05.06.2023 18:00,36,0
05.06.2023 16:00,36,0
05.06.2023 14:00,36,0
05.06.2023 12:00,36,0
05.06.2023 10:00,36,0
05.06.2023 8:00,36,0
05.06.2023 6:00,36,0
05.06.2023 4:00,37,0
05.06.2023 2:00,37,0
05.06.2023 0:00,37,0
04.06.2023 22:00,37,0
04.06.2023 20:00,37,0
04.06.2023 18:00,38,0
04.06.2023 16:00,38,0
04.06.2023 14:00,38,0
04.06.2023 12:00,38,0
04.06.2023 10:00,39,0
04.06.2023 8:00,39,0
04.06.2023 6:00,39,0
04.06.2023 4:00,40,0
04.06.2023 2:00,41,0
04.06.2023 0:00,42,0
03.06.2023 22:00,42,0
03.06.2023 20:00,42,0
03.06.2023 18:00,43,0
07.06.2023 18:00,53,0.5
07.06.2023 16:00,53,0.5
07.06.2023 14:00,54,0.5
07.06.2023 12:00,54,0.5
07.06.2023 10:00,52,0
07.06.2023 8:00,50,23.1
07.06.2023 6:00,45,22.9
07.06.2023 4:00,42,21.9
07.06.2023 2:00,39,15.1
07.06.2023 0:00,38,13.3
06.06.2023 22:00,37,12.4
06.06.2023 20:00,36,11.8
06.06.2023 18:00,36,10.5
10.06.2023 20:00,66,0.2
10.06.2023 18:00,57,0.2
10.06.2023 16:00,59,0.2
10.06.2023 14:00,60,0
10.06.2023 12:00,62,0
10.06.2023 10:00,64,0
10.06.2023 8:00,65,2.7
10.06.2023 6:00,67,2.7
10.06.2023 4:00,65,2.7
10.06.2023 2:00,49,2.7
10.06.2023 0:00,49,2.7
09.06.2023 22:00,50,0.2
09.06.2023 20:00,50,0.2
09.06.2023 18:00,50,0
09.06.2023 16:00,51,0
09.06.2023 14:00,52,0
09.06.2023 12:00,53,0
09.06.2023 10:00,55,0
09.06.2023 8:00,55,0.8
09.06.2023 6:00,46,0.8
09.06.2023 4:00,46,0.8
09.06.2023 2:00,45,0.8
09.06.2023 0:00,45,0.8
08.06.2023 22:00,45,0.8
08.06.2023 20:00,46,0.8
08.06.2023 18:00,46,0.8
08.06.2023 16:00,46,0.8
08.06.2023 14:00,46,0.8
08.06.2023 12:00,46,0.8
08.06.2023 10:00,46,0.1
08.06.2023 8:00,47,10.7
08.06.2023 6:00,47,0.5
08.06.2023 4:00,48,0.5
08.06.2023 2:00,49,0.5
08.06.2023 0:00,50,0.5
07.06.2023 22:00,51,0.5
15.06.2023 12:00,45,0
15.06.2023 10:00,46,0
15.06.2023 8:00,46,0
15.06.2023 6:00,47,0
15.06.2023 4:00,47,0
15.06.2023 2:00,48,0
15.06.2023 0:00,48,0
14.06.2023 22:00,49,0
14.06.2023 20:00,50,0
14.06.2023 18:00,50,0
14.06.2023 16:00,51,0
14.06.2023 14:00,50,0
14.06.2023 12:00,50,0
14.06.2023 10:00,49,0
14.06.2023 8:00,49,1.9
14.06.2023 6:00,48,1.8
14.06.2023 4:00,48,1.8
14.06.2023 2:00,48,1.8
