Date,Water Level,Another
22.05.2023 18:00,0,0
22.05.2023 16:00,0,0
22.05.2023 14:00,0,0
22.05.2023 12:00,0,0
22.05.2023 10:00,0,0
22.05.2023 8:00,0,0
22.05.2023 6:00,0,0
22.05.2023 4:00,0,0
22.05.2023 2:00,0,0
22.05.2023 0:00,0,0
21.05.2023 22:00,0,0
21.05.2023 20:00,0,0
21.05.2023 18:00,0,0
21.05.2023 16:00,1,0
21.05.2023 14:00,1,0
21.05.2023 12:00,0,0
21.05.2023 10:00,0,0
21.05.2023 8:00,0,0
21.05.2023 6:00,0,0
21.05.2023 4:00,1,0
21.05.2023 2:00,1,0
21.05.2023 0:00,1,0
20.05.2023 22:00,1,0
20.05.2023 20:00,1,0
20.05.2023 18:00,1,0
20.05.2023 16:00,1,0
20.05.2023 14:00,1,0
20.05.2023 12:00,1,0
20.05.2023 10:00,1,0
20.05.2023 8:00,1,3.7
20.05.2023 6:00,1,3.7
20.05.2023 4:00,2,3.7
20.05.2023 2:00,2,0
20.05.2023 0:00,2,3.7
19.05.2023 22:00,2,3.7
19.05.2023 20:00,2,3.7
23.05.2023 14:00,-1,0
23.05.2023 12:00,-1,0
23.05.2023 10:00,-1,0
23.05.2023 8:00,-1,0
23.05.2023 6:00,-1,0
23.05.2023 4:00,-1,0
23.05.2023 2:00,-1,0
23.05.2023 0:00,-1,0
22.05.2023 22:00,0,0
22.05.2023 20:00,0,0
22.05.2023 18:00,0,0
22.05.2023 16:00,0,0
22.05.2023 14:00,0,0
22.05.2023 12:00,0,0
22.05.2023 10:00,0,0
22.05.2023 8:00,0,0
22.05.2023 6:00,0,0
22.05.2023 4:00,0,0
22.05.2023 2:00,0,0
22.05.2023 0:00,0,0
21.05.2023 22:00,0,0
21.05.2023 20:00,0,0
21.05.2023 18:00,0,0
21.05.2023 16:00,1,0
21.05.2023 14:00,1,0
21.05.2023 12:00,0,0
21.05.2023 10:00,0,0
21.05.2023 8:00,0,0
21.05.2023 6:00,0,0
21.05.2023 4:00,1,0
21.05.2023 2:00,1,0
21.05.2023 0:00,1,0
20.05.2023 22:00,1,0
20.05.2023 20:00,1,0
20.05.2023 18:00,1,0
20.05.2023 16:00,1,0
24.05.2023 14:00,-1,0
24.05.2023 12:00,-1,0
24.05.2023 10:00,-1,0
24.05.2023 8:00,-1,0
24.05.2023 6:00,-1,0
24.05.2023 4:00,-1,0
24.05.2023 2:00,-1,0
24.05.2023 0:00,-1,0
23.05.2023 22:00,-1,0
23.05.2023 20:00,-1,0
23.05.2023 18:00,-1,0
23.05.2023 16:00,-1,0
23.05.2023 14:00,-1,0
23.05.2023 12:00,-1,0
23.05.2023 10:00,-1,0
23.05.2023 8:00,-1,0
23.05.2023 6:00,-1,0
23.05.2023 4:00,-1,0
23.05.2023 2:00,-1,0
23.05.2023 0:00,-1,0
22.05.2023 22:00,0,0
22.05.2023 20:00,0,0
22.05.2023 18:00,0,0
22.05.2023 16:00,0,0
22.05.2023 14:00,0,0
22.05.2023 12:00,0,0
22.05.2023 10:00,0,0
22.05.2023 8:00,0,0
22.05.2023 6:00,0,0
22.05.2023 4:00,0,0
22.05.2023 2:00,0,0
22.05.2023 0:00,0,0
21.05.2023 22:00,0,0
21.05.2023 20:00,0,0
21.05.2023 18:00,0,0
21.05.2023 16:00,1,0
26.05.2023 10:00,2,0
26.05.2023 8:00,2,0
26.05.2023 6:00,2,0
26.05.2023 4:00,2,0
26.05.2023 2:00,2,0
26.05.2023 0:00,3,0
25.05.2023 22:00,3,0
25.05.2023 20:00,3,0
25.05.2023 18:00,4,0
25.05.2023 16:00,4,0
25.05.2023 14:00,5,0
25.05.2023 12:00,5,0
25.05.2023 10:00,6,0
25.05.2023 8:00,6,26.1
25.05.2023 6:00,7,26.1
25.05.2023 4:00,8,26
25.05.2023 2:00,10,26
25.05.2023 0:00,11,26
24.05.2023 22:00,11,26
24.05.2023 20:00,12,26
24.05.2023 18:00,11,25.8
24.05.2023 16:00,2,20.1
26.05.2023 12:00,2,0
29.05.2023 16:00,-1,0
29.05.2023 14:00,-1,0
29.05.2023 12:00,-1,0
29.05.2023 10:00,-1,0
29.05.2023 8:00,-1,0
29.05.2023 6:00,-1,0
29.05.2023 4:00,-1,0
29.05.2023 2:00,-1,0
29.05.2023 0:00,-1,0
28.05.2023 22:00,-1,0
28.05.2023 20:00,-1,0
28.05.2023 18:00,-1,0
28.05.2023 16:00,-1,0
28.05.2023 14:00,-1,0
28.05.2023 12:00,-1,0
28.05.2023 10:00,-1,0
28.05.2023 8:00,-1,0
28.05.2023 6:00,-1,0
28.05.2023 4:00,-1,0
28.05.2023 2:00,-1,0
28.05.2023 0:00,0,0
27.05.2023 22:00,0,0
27.05.2023 20:00,0,0
27.05.2023 18:00,0,0
27.05.2023 16:00,0,0
27.05.2023 14:00,0,0
27.05.2023 12:00,0,0
27.05.2023 10:00,0,0
27.05.2023 8:00,0,0
27.05.2023 6:00,0,0
27.05.2023 4:00,0,0
27.05.2023 2:00,1,0
27.05.2023 0:00,1,0
26.05.2023 22:00,1,0
26.05.2023 20:00,1,0
26.05.2023 18:00,1,0
30.05.2023 10:00,0,0
30.05.2023 8:00,0,0
30.05.2023 6:00,1,0
30.05.2023 4:00,1,0
30.05.2023 2:00,0,0
30.05.2023 0:00,-1,0
29.05.2023 22:00,-1,0
29.05.2023 20:00,-1,0
29.05.2023 18:00,-1,0
02.06.2023 22:00,-3,0
02.06.2023 20:00,-3,0
02.06.2023 18:00,-3,0
02.06.2023 16:00,-3,0
02.06.2023 14:00,-3,0
02.06.2023 12:00,-3,0
02.06.2023 10:00,-3,0
02.06.2023 8:00,-3,0
02.06.2023 6:00,-3,0
02.06.2023 4:00,-3,0
02.06.2023 2:00,-3,0
02.06.2023 0:00,-3,0
01.06.2023 22:00,-3,0
01.06.2023 20:00,-2,0
01.06.2023 18:00,-2,0
01.06.2023 16:00,-2,0
01.06.2023 14:00,-2,0
01.06.2023 12:00,-2,0
01.06.2023 10:00,-2,0
01.06.2023 8:00,-2,0
01.06.2023 6:00,-3,0
01.06.2023 4:00,-2,0
01.06.2023 2:00,-2,0
01.06.2023 0:00,-2,0
31.05.2023 22:00,-2,0
31.05.2023 20:00,-2,0
31.05.2023 18:00,-2,0
31.05.2023 16:00,-2,0
31.05.2023 14:00,-2,0
31.05.2023 12:00,-2,0
31.05.2023 10:00,-2,0
31.05.2023 8:00,-2,0
31.05.2023 6:00,-2,0
31.05.2023 4:00,-2,0
31.05.2023 2:00,-2,0
31.05.2023 0:00,-1,0
06.06.2023 16:00,-4,0
06.06.2023 14:00,-4,0
06.06.2023 12:00,-4,0
06.06.2023 10:00,-4,0
06.06.2023 8:00,-4,0
06.06.2023 6:00,-4,0
06.06.2023 4:00,-4,0
06.06.2023 2:00,-4,0
06.06.2023 0:00,-4,0
05.06.2023 22:00,-4,0
05.06.2023 20:00,-3,0
05.06.2023 18:00,-3,0
05.06.2023 16:00,-3,0
05.06.2023 14:00,-3,0
05.06.2023 12:00,-3,0
05.06.2023 10:00,-3,0
05.06.2023 8:00,-3,0
05.06.2023 6:00,-3,0
05.06.2023 4:00,-3,0
05.06.2023 2:00,-3,0
05.06.2023 0:00,-3,0
04.06.2023 22:00,-3,0
04.06.2023 20:00,-3,0
04.06.2023 18:00,-3,0
04.06.2023 16:00,-3,0
04.06.2023 14:00,-3,0
04.06.2023 12:00,-3,0
04.06.2023 10:00,-3,0
04.06.2023 8:00,-3,0
04.06.2023 6:00,-3,0
04.06.2023 4:00,-3,0
04.06.2023 2:00,-3,0
04.06.2023 0:00,-3,0
03.06.2023 22:00,-2,0
03.06.2023 20:00,-2,0
03.06.2023 18:00,-2,0
07.06.2023 18:00,2,1.3
07.06.2023 16:00,3,1.3
07.06.2023 14:00,3,1.3
07.06.2023 12:00,4,0.8
07.06.2023 10:00,4,0.7
07.06.2023 8:00,4,21.6
07.06.2023 6:00,5,19.5
07.06.2023 4:00,6,17.4
07.06.2023 2:00,8,17.3
07.06.2023 0:00,5,17
06.06.2023 22:00,1,14.7
06.06.2023 20:00,-2,13.1
06.06.2023 18:00,-3,2
10.06.2023 20:00,10,0.1
10.06.2023 18:00,10,0
10.06.2023 16:00,11,0
10.06.2023 14:00,12,0
10.06.2023 12:00,13,0
10.06.2023 10:00,14,0
10.06.2023 8:00,16,0.1
10.06.2023 6:00,17,0.1
10.06.2023 4:00,19,0.1
10.06.2023 2:00,21,0.1
10.06.2023 0:00,24,0.1
09.06.2023 22:00,26,0
09.06.2023 20:00,29,0
09.06.2023 18:00,11,0
09.06.2023 16:00,5,0
09.06.2023 14:00,5,0
09.06.2023 12:00,6,0
09.06.2023 10:00,7,0
09.06.2023 8:00,7,0.5
09.06.2023 6:00,9,0.5
09.06.2023 4:00,10,0.5
09.06.2023 2:00,13,0.5
09.06.2023 0:00,,0
08.06.2023 22:00,18,0.4
08.06.2023 20:00,8,0.4
08.06.2023 18:00,1,0
08.06.2023 16:00,2,0
08.06.2023 14:00,1,0
08.06.2023 12:00,0,0
08.06.2023 10:00,0,0
08.06.2023 8:00,0,1.3
08.06.2023 6:00,0,1.3
08.06.2023 4:00,1,1.3
08.06.2023 2:00,1,1.3
08.06.2023 0:00,1,1.3
07.06.2023 22:00,2,1.3
15.06.2023 12:00,4,0
15.06.2023 10:00,4,0
15.06.2023 8:00,4,0.1
15.06.2023 6:00,4,0.1
15.06.2023 4:00,4,0.1
15.06.2023 2:00,5,0.1
15.06.2023 0:00,5,0.1
14.06.2023 22:00,5,0
14.06.2023 20:00,5,0
14.06.2023 18:00,6,0
14.06.2023 16:00,6,0
14.06.2023 14:00,6,0
14.06.2023 12:00,7,0
14.06.2023 10:00,7,0
14.06.2023 8:00,7,0.1
14.06.2023 6:00,8,0.1
14.06.2023 4:00,8,0
14.06.2023 2:00,7,0
14.06.2023 0:00,7,0
13.06.2023 22:00,7,0
13.06.2023 20:00,6,0
13.06.2023 18:00,5,0
13.06.2023 16:00,5,0
13.06.2023 14:00,5,0
13.06.2023 12:00,5,0
13.06.2023 10:00,5,0
13.06.2023 8:00,6,0.2
13.06.2023 6:00,6,0.1
13.06.2023 4:00,6,0.1
13.06.2023 2:00,6,0.1
13.06.2023 0:00,6,0.1
12.06.2023 22:00,6,0.1
12.06.2023 20:00,7,0.1
12.06.2023 18:00,7,0.1
12.06.2023 16:00,7,0.1
12.06.2023 14:00,8,0.1
18.06.2023 10:00,14,0
18.06.2023 8:00,14,0.2
18.06.2023 6:00,13,0.2
18.06.2023 4:00,13,0.2
18.06.2023 2:00,13,0.1
18.06.2023 0:00,13,0.1
17.06.2023 22:00,12,0.1
17.06.2023 20:00,9,0.1
17.06.2023 18:00,7,0.1
17.06.2023 16:00,6,0
17.06.2023 14:00,5,0.1
17.06.2023 12:00,5,0.1
17.06.2023 10:00,5,0.1
17.06.2023 8:00,6,0.1
17.06.2023 6:00,6,0.1
17.06.2023 4:00,6,0.1
17.06.2023 2:00,6,0.1
17.06.2023 0:00,5,0
16.06.2023 22:00,4,0.1
16.06.2023 20:00,3,0.1
16.06.2023 18:00,2,0.1
16.06.2023 16:00,2,0.1
16.06.2023 14:00,2,0.1
16.06.2023 12:00,2,0
16.06.2023 10:00,2,0
16.06.2023 8:00,2,0.1
16.06.2023 6:00,2,0.1
16.06.2023 4:00,2,0.1
16.06.2023 2:00,2,0.1
16.06.2023 0:00,3,0.1
15.06.2023 22:00,3,0.1
15.06.2023 20:00,3,0.1
15.06.2023 18:00,3,0.1
15.06.2023 16:00,,0
15.06.2023 14:00,4,0
21.06.2023 14:00,5,0
21.06.2023 12:00,5,0
21.06.2023 10:00,5,0
21.06.2023 8:00,5,0.2
21.06.2023 6:00,6,0.2
21.06.2023 4:00,6,0.1
21.06.2023 2:00,6,0.1
21.06.2023 0:00,6,0.1
20.06.2023 22:00,7,0.1
20.06.2023 20:00,7,0.1
20.06.2023 18:00,8,0.1
20.06.2023 16:00,9,0.1
20.06.2023 14:00,9,0.1
20.06.2023 12:00,9,0.1
20.06.2023 10:00,10,0
20.06.2023 8:00,10,0.1
20.06.2023 6:00,11,0.1
20.06.2023 4:00,11,0.1
20.06.2023 2:00,12,0.1
20.06.2023 0:00,13,0.1
19.06.2023 22:00,12,0.1
19.06.2023 20:00,12,0.1
19.06.2023 18:00,,0.1
19.06.2023 16:00,13,0.1
19.06.2023 14:00,14,0
19.06.2023 12:00,14,0
19.06.2023 10:00,15,0
19.06.2023 8:00,16,0.1
19.06.2023 6:00,17,0.1
19.06.2023 4:00,18,0.1
19.06.2023 2:00,19,0.1
19.06.2023 0:00,21,0.1
18.06.2023 22:00,16,0.1
18.06.2023 20:00,,0
18.06.2023 18:00,12,0
18.06.2023 16:00,13,0
26.06.2023 16:00,3,0
26.06.2023 14:00,3,0
26.06.2023 12:00,3,0
26.06.2023 10:00,3,0
26.06.2023 8:00,3,0.1
26.06.2023 6:00,3,0.1
26.06.2023 4:00,3,0
26.06.2023 2:00,3,0
26.06.2023 0:00,4,0
25.06.2023 22:00,4,0
25.06.2023 20:00,5,0
25.06.2023 18:00,5,0
25.06.2023 16:00,6,0
25.06.2023 14:00,6,0
25.06.2023 12:00,6,0
25.06.2023 10:00,5,0
25.06.2023 8:00,5,0.1
25.06.2023 6:00,5,0.1
25.06.2023 4:00,4,0.1
25.06.2023 2:00,5,0
25.06.2023 0:00,5,0
24.06.2023 22:00,5,0
24.06.2023 20:00,6,0
24.06.2023 18:00,6,0
24.06.2023 16:00,7,0
24.06.2023 14:00,7,0
24.06.2023 12:00,,0
24.06.2023 10:00,9,0
24.06.2023 8:00,10,0.1
24.06.2023 6:00,11,0.1
24.06.2023 4:00,11,0.1
24.06.2023 2:00,10,0.1
24.06.2023 0:00,7,0
23.06.2023 22:00,4,0
23.06.2023 20:00,2,0
23.06.2023 18:00,2,0
27.06.2023 10:00,1,0
27.06.2023 8:00,1,0
27.06.2023 6:00,1,0
27.06.2023 4:00,1,0
27.06.2023 2:00,1,0
27.06.2023 0:00,1,0
26.06.2023 22:00,2,0
26.06.2023 20:00,2,0
26.06.2023 18:00,2,0
